codepoint,char,definition,has_definition,in_ids
U+03B1,α,,false,true
U+1B0A6,𛂦,,false,true
U+20000,𠀀,"the sound made by breathing in; oh! (cf. U+311B BOPOMOFO LETTER O, which is derived from this character)",true,true
U+20001,𠀁,the original form for 七 U+4E03,true,true
U+20002,𠀂,,false,true
U+20003,𠀃,,false,true
U+20004,𠀄,,false,true
U+20005,𠀅,an alternate form of U+4EA5 亥,true,true
U+20006,𠀆,,false,true
U+20007,𠀇,,false,true
U+20008,𠀈,,false,true
U+20009,𠀉,(the same as U+4E18 丘) a hill; elder; empty; a name,true,true
U+2000A,𠀊,,false,true
U+2000B,𠀋,,false,true
U+2000C,𠀌,,false,true
U+2000D,𠀍,(same as U+4E16 世) generation; world; era,true,true
U+2000E,𠀎,,false,true
U+2000F,𠀏,,false,true
U+20010,𠀐,,false,true
U+20011,𠀑,,false,true
U+20012,𠀒,,false,true
U+20013,𠀓,,false,true
U+20014,𠀔,,false,true
U+20015,𠀕,Variant of U+4E99 亙,true,true
U+20016,𠀖,,false,true
U+20017,𠀗,,false,true
U+20018,𠀘,,false,true
U+20019,𠀙,,false,true
U+2001A,𠀚,,false,true
U+2001B,𠀛,,false,true
U+2001C,𠀜,,false,true
U+2001D,𠀝,,false,true
U+2001E,𠀞,,false,true
U+2001F,𠀟,,false,true
U+20020,𠀠,,false,true
U+20021,𠀡,,false,true
U+20022,𠀢,,false,true
U+20023,𠀣,,false,true
U+20024,𠀤,,false,true
U+20025,𠀥,,false,true
U+20026,𠀦,,false,true
U+20027,𠀧,,false,true
U+20028,𠀨,,false,true
U+20029,𠀩,,false,true
U+2002A,𠀪,,false,true
U+2002B,𠀫,,false,true
U+2002C,𠀬,,false,true
U+2002D,𠀭,,false,true
U+2002E,𠀮,,false,true
U+2002F,𠀯,,false,true
U+20030,𠀰,,false,true
U+20031,𠀱,,false,true
U+20032,𠀲,,false,true
U+20033,𠀳,,false,true
U+20034,𠀴,,false,true
U+20035,𠀵,,false,true
U+20036,𠀶,,false,true
U+20037,𠀷,,false,true
U+20038,𠀸,,false,true
U+20039,𠀹,,false,true
U+2003A,𠀺,,false,true
U+2003B,𠀻,,false,true
U+2003C,𠀼,,false,true
U+2003D,𠀽,,false,true
U+2003E,𠀾,,false,true
U+2003F,𠀿,,false,true
U+20040,𠁀,,false,true
U+20041,𠁁,a flagon,true,true
U+20042,𠁂,,false,true
U+20043,𠁃,,false,true
U+20044,𠁄,,false,true
U+20045,𠁅,,false,true
U+20046,𠁆,,false,true
U+20047,𠁇,,false,true
U+20048,𠁈,,false,true
U+20049,𠁉,,false,true
U+2004A,𠁊,,false,true
U+2004B,𠁋,,false,true
U+2004C,𠁌,,false,true
U+2004D,𠁍,,false,true
U+2004E,𠁎,,false,true
U+2004F,𠁏,,false,true
U+20050,𠁐,,false,true
U+20051,𠁑,,false,true
U+20052,𠁒,,false,true
U+20053,𠁓,,false,true
