row_id,codepoint,char,cluster_kmeans,cluster_agglomerative,k,space
0,U+3400,㐀,56,,60,structural
1,U+3402,㐂,27,,60,structural
2,U+3403,㐃,27,,60,structural
3,U+3407,㐇,27,,60,structural
4,U+3408,㐈,27,,60,structural
5,U+3409,㐉,52,,60,structural
6,U+340A,㐊,27,,60,structural
7,U+340B,㐋,9,,60,structural
8,U+340C,㐌,27,,60,structural
9,U+340D,㐍,27,,60,structural
10,U+340E,㐎,27,,60,structural
11,U+340F,㐏,56,,60,structural
12,U+3410,㐐,31,,60,structural
13,U+3411,㐑,27,,60,structural
14,U+3412,㐒,1,,60,structural
15,U+3413,㐓,52,,60,structural
16,U+3414,㐔,1,,60,structural
17,U+3415,㐕,11,,60,structural
18,U+3416,㐖,1,,60,structural
19,U+3417,㐗,27,,60,structural
20,U+3418,㐘,27,,60,structural
21,U+3419,㐙,27,,60,structural
22,U+341A,㐚,21,,60,structural
23,U+341B,㐛,46,,60,structural
24,U+341C,㐜,25,,60,structural
25,U+341D,㐝,3,,60,structural
26,U+341E,㐞,25,,60,structural
27,U+341F,㐟,27,,60,structural
28,U+3420,㐠,27,,60,structural
29,U+3421,㐡,20,,60,structural
30,U+3422,㐢,12,,60,structural
31,U+3423,㐣,38,,60,structural
32,U+3424,㐤,25,,60,structural
33,U+3425,㐥,48,,60,structural
34,U+3426,㐦,25,,60,structural
35,U+3428,㐨,27,,60,structural
36,U+3429,㐩,17,,60,structural
37,U+342A,㐪,20,,60,structural
38,U+342B,㐫,10,,60,structural
39,U+342D,㐭,1,,60,structural
40,U+342E,㐮,58,,60,structural
41,U+342F,㐯,1,,60,structural
42,U+3430,㐰,46,,60,structural
43,U+3431,㐱,46,,60,structural
44,U+3432,㐲,46,,60,structural
45,U+3433,㐳,26,,60,structural
46,U+3434,㐴,4,,60,structural
47,U+3435,㐵,49,,60,structural
48,U+3436,㐶,46,,60,structural
49,U+3437,㐷,50,,60,structural
50,U+3438,㐸,46,,60,structural
51,U+3439,㐹,46,,60,structural
52,U+343A,㐺,46,,60,structural
53,U+343B,㐻,46,,60,structural
54,U+343C,㐼,46,,60,structural
55,U+343D,㐽,46,,60,structural
56,U+343E,㐾,26,,60,structural
57,U+343F,㐿,3,,60,structural
58,U+3440,㑀,13,,60,structural
59,U+3441,㑁,46,,60,structural
60,U+3442,㑂,26,,60,structural
61,U+3443,㑃,46,,60,structural
62,U+3444,㑄,46,,60,structural
63,U+3445,㑅,26,,60,structural
64,U+3446,㑆,46,,60,structural
65,U+3447,㑇,46,,60,structural
66,U+3448,㑈,26,,60,structural
67,U+3449,㑉,46,,60,structural
68,U+344A,㑊,46,,60,structural
69,U+344B,㑋,46,,60,structural
70,U+344C,㑌,33,,60,structural
71,U+344D,㑍,46,,60,structural
72,U+344E,㑎,46,,60,structural
73,U+344F,㑏,46,,60,structural
74,U+3450,㑐,26,,60,structural
75,U+3451,㑑,46,,60,structural
76,U+3452,㑒,26,,60,structural
77,U+3453,㑓,46,,60,structural
78,U+3454,㑔,19,,60,structural
79,U+3455,㑕,4,,60,structural
80,U+3456,㑖,59,,60,structural
81,U+3457,㑗,46,,60,structural
82,U+3458,㑘,46,,60,structural
83,U+3459,㑙,46,,60,structural
84,U+345A,㑚,49,,60,structural
85,U+345B,㑛,34,,60,structural
86,U+345C,㑜,3,,60,structural
87,U+345D,㑝,33,,60,structural
88,U+345E,㑞,42,,60,structural
89,U+345F,㑟,25,,60,structural
90,U+3460,㑠,9,,60,structural
91,U+3461,㑡,46,,60,structural
92,U+3462,㑢,9,,60,structural
93,U+3463,㑣,34,,60,structural
94,U+3464,㑤,36,,60,structural
95,U+3465,㑥,24,,60,structural
96,U+3466,㑦,13,,60,structural
97,U+3467,㑧,46,,60,structural
98,U+3468,㑨,46,,60,structural
99,U+3469,㑩,4,,60,structural
100,U+346A,㑪,49,,60,structural
101,U+346B,㑫,13,,60,structural
102,U+346C,㑬,31,,60,structural
103,U+346D,㑭,26,,60,structural
104,U+346E,㑮,46,,60,structural
105,U+346F,㑯,19,,60,structural
106,U+3470,㑰,46,,60,structural
107,U+3471,㑱,34,,60,structural
108,U+3472,㑲,46,,60,structural
109,U+3473,㑳,46,,60,structural
110,U+3474,㑴,53,,60,structural
111,U+3475,㑵,46,,60,structural
112,U+3476,㑶,46,,60,structural
113,U+3477,㑷,46,,60,structural
114,U+3478,㑸,52,,60,structural
115,U+3479,㑹,26,,60,structural
116,U+347A,㑺,46,,60,structural
117,U+347B,㑻,10,,60,structural
118,U+347C,㑼,46,,60,structural
119,U+347D,㑽,9,,60,structural
120,U+347E,㑾,5,,60,structural
121,U+347F,㑿,24,,60,structural
122,U+3480,㒀,47,,60,structural
123,U+3481,㒁,9,,60,structural
124,U+3482,㒂,24,,60,structural
125,U+3483,㒃,49,,60,structural
126,U+3484,㒄,42,,60,structural
127,U+3485,㒅,4,,60,structural
128,U+3486,㒆,26,,60,structural
129,U+3487,㒇,26,,60,structural
130,U+3488,㒈,0,,60,structural
131,U+3489,㒉,34,,60,structural
132,U+348A,㒊,46,,60,structural
133,U+348B,㒋,25,,60,structural
134,U+348C,㒌,46,,60,structural
135,U+348D,㒍,15,,60,structural
136,U+348E,㒎,18,,60,structural
137,U+348F,㒏,46,,60,structural
138,U+3490,㒐,24,,60,structural
139,U+3491,㒑,12,,60,structural
140,U+3492,㒒,26,,60,structural
141,U+3493,㒓,46,,60,structural
142,U+3494,㒔,46,,60,structural
143,U+3495,㒕,46,,60,structural
144,U+3496,㒖,36,,60,structural
145,U+3497,㒗,46,,60,structural
146,U+3498,㒘,46,,60,structural
147,U+3499,㒙,15,,60,structural
148,U+349A,㒚,46,,60,structural
149,U+349B,㒛,46,,60,structural
150,U+349C,㒜,25,,60,structural
151,U+349D,㒝,13,,60,structural
152,U+349E,㒞,46,,60,structural
153,U+349F,㒟,50,,60,structural
154,U+34A0,㒠,46,,60,structural
155,U+34A1,㒡,15,,60,structural
156,U+34A2,㒢,46,,60,structural
157,U+34A3,㒣,38,,60,structural
158,U+34A4,㒤,46,,60,structural
159,U+34A5,㒥,46,,60,structural
160,U+34A6,㒦,9,,60,structural
161,U+34A7,㒧,46,,60,structural
162,U+34A8,㒨,46,,60,structural
163,U+34A9,㒩,30,,60,structural
164,U+34AA,㒪,46,,60,structural
165,U+34AB,㒫,27,,60,structural
166,U+34AC,㒬,56,,60,structural
167,U+34AD,㒭,1,,60,structural
168,U+34AE,㒮,56,,60,structural
169,U+34AF,㒯,56,,60,structural
170,U+34B0,㒰,27,,60,structural
171,U+34B1,㒱,4,,60,structural
172,U+34B2,㒲,24,,60,structural
173,U+34B3,㒳,27,,60,structural
174,U+34B4,㒴,27,,60,structural
175,U+34B5,㒵,58,,60,structural
176,U+34B6,㒶,58,,60,structural
177,U+34B7,㒷,25,,60,structural
178,U+34B8,㒸,58,,60,structural
179,U+34B9,㒹,25,,60,structural
180,U+34BA,㒺,25,,60,structural
181,U+34BB,㒻,17,,60,structural
182,U+34BC,㒼,53,,60,structural
183,U+34BD,㒽,49,,60,structural
184,U+34BE,㒾,17,,60,structural
185,U+34BF,㒿,10,,60,structural
186,U+34C0,㓀,27,,60,structural
187,U+34C1,㓁,27,,60,structural
188,U+34C2,㓂,56,,60,structural
189,U+34C3,㓃,5,,60,structural
190,U+34C4,㓄,27,,60,structural
191,U+34C5,㓅,52,,60,structural
192,U+34C6,㓆,46,,60,structural
193,U+34C7,㓇,18,,60,structural
194,U+34C8,㓈,6,,60,structural
195,U+34C9,㓉,6,,60,structural
196,U+34CA,㓊,1,,60,structural
197,U+34CB,㓋,28,,60,structural
198,U+34CC,㓌,33,,60,structural
199,U+34CD,㓍,6,,60,structural
200,U+34CE,㓎,6,,60,structural
201,U+34CF,㓏,47,,60,structural
202,U+34D0,㓐,9,,60,structural
203,U+34D1,㓑,9,,60,structural
204,U+34D2,㓒,6,,60,structural
205,U+34D3,㓓,6,,60,structural
206,U+34D4,㓔,6,,60,structural
207,U+34D5,㓕,42,,60,structural
208,U+34D6,㓖,56,,60,structural
209,U+34D7,㓗,43,,60,structural
210,U+34D8,㓘,33,,60,structural
211,U+34D9,㓙,27,,60,structural
212,U+34DA,㓚,27,,60,structural
213,U+34DB,㓛,27,,60,structural
214,U+34DC,㓜,27,,60,structural
215,U+34DD,㓝,17,,60,structural
216,U+34DE,㓞,43,,60,structural
217,U+34DF,㓟,27,,60,structural
218,U+34E0,㓠,1,,60,structural
219,U+34E1,㓡,27,,60,structural
220,U+34E2,㓢,1,,60,structural
221,U+34E3,㓣,26,,60,structural
222,U+34E4,㓤,1,,60,structural
223,U+34E5,㓥,27,,60,structural
224,U+34E6,㓦,56,,60,structural
225,U+34E7,㓧,13,,60,structural
226,U+34E8,㓨,46,,60,structural
227,U+34E9,㓩,27,,60,structural
228,U+34EA,㓪,13,,60,structural
229,U+34EB,㓫,56,,60,structural
230,U+34EC,㓬,49,,60,structural
231,U+34ED,㓭,24,,60,structural
232,U+34EE,㓮,27,,60,structural
233,U+34EF,㓯,11,,60,structural
234,U+34F0,㓰,56,,60,structural
235,U+34F1,㓱,26,,60,structural
236,U+34F2,㓲,13,,60,structural
237,U+34F3,㓳,24,,60,structural
238,U+34F4,㓴,20,,60,structural
239,U+34F5,㓵,21,,60,structural
240,U+34F6,㓶,43,,60,structural
241,U+34F7,㓷,34,,60,structural
242,U+34F8,㓸,27,,60,structural
243,U+34F9,㓹,42,,60,structural
244,U+34FA,㓺,27,,60,structural
245,U+34FB,㓻,56,,60,structural
246,U+34FC,㓼,58,,60,structural
247,U+34FD,㓽,11,,60,structural
248,U+34FE,㓾,58,,60,structural
249,U+34FF,㓿,27,,60,structural
250,U+3500,㔀,1,,60,structural
251,U+3501,㔁,27,,60,structural
252,U+3502,㔂,27,,60,structural
253,U+3503,㔃,15,,60,structural
254,U+3504,㔄,59,,60,structural
255,U+3505,㔅,27,,60,structural
256,U+3506,㔆,24,,60,structural
257,U+3507,㔇,27,,60,structural
258,U+3508,㔈,36,,60,structural
259,U+3509,㔉,27,,60,structural
260,U+350A,㔊,21,,60,structural
261,U+350B,㔋,13,,60,structural
262,U+350C,㔌,0,,60,structural
263,U+350D,㔍,23,,60,structural
264,U+350E,㔎,27,,60,structural
265,U+350F,㔏,27,,60,structural
266,U+3510,㔐,23,,60,structural
267,U+3511,㔑,36,,60,structural
268,U+3512,㔒,47,,60,structural
269,U+3513,㔓,37,,60,structural
270,U+3514,㔔,1,,60,structural
271,U+3515,㔕,27,,60,structural
272,U+3516,㔖,1,,60,structural
273,U+3517,㔗,10,,60,structural
274,U+3518,㔘,27,,60,structural
275,U+3519,㔙,25,,60,structural
276,U+351A,㔚,27,,60,structural
277,U+351B,㔛,1,,60,structural
278,U+351C,㔜,27,,60,structural
279,U+351D,㔝,53,,60,structural
280,U+351E,㔞,37,,60,structural
281,U+351F,㔟,27,,60,structural
282,U+3520,㔠,24,,60,structural
283,U+3521,㔡,27,,60,structural
284,U+3522,㔢,15,,60,structural
285,U+3523,㔣,11,,60,structural
286,U+3524,㔤,11,,60,structural
287,U+3525,㔥,27,,60,structural
288,U+3526,㔦,27,,60,structural
289,U+3527,㔧,11,,60,structural
290,U+3528,㔨,27,,60,structural
291,U+3529,㔩,9,,60,structural
292,U+352A,㔪,27,,60,structural
293,U+352B,㔫,27,,60,structural
294,U+352C,㔬,24,,60,structural
295,U+352D,㔭,24,,60,structural
296,U+352E,㔮,49,,60,structural
297,U+352F,㔯,1,,60,structural
298,U+3530,㔰,4,,60,structural
299,U+3531,㔱,46,,60,structural
300,U+3532,㔲,27,,60,structural
301,U+3533,㔳,27,,60,structural
302,U+3534,㔴,28,,60,structural
303,U+3535,㔵,28,,60,structural
304,U+3536,㔶,32,,60,structural
305,U+3537,㔷,26,,60,structural
306,U+3538,㔸,27,,60,structural
307,U+3539,㔹,27,,60,structural
308,U+353A,㔺,56,,60,structural
309,U+353B,㔻,56,,60,structural
310,U+353C,㔼,3,,60,structural
311,U+353D,㔽,1,,60,structural
312,U+353F,㔿,56,,60,structural
313,U+3540,㕀,11,,60,structural
314,U+3541,㕁,27,,60,structural
315,U+3542,㕂,13,,60,structural
316,U+3543,㕃,56,,60,structural
317,U+3544,㕄,27,,60,structural
318,U+3545,㕅,11,,60,structural
319,U+3546,㕆,1,,60,structural
320,U+3547,㕇,27,,60,structural
321,U+3548,㕈,35,,60,structural
322,U+3549,㕉,26,,60,structural
323,U+354A,㕊,57,,60,structural
324,U+354B,㕋,29,,60,structural
325,U+354C,㕌,56,,60,structural
326,U+354D,㕍,51,,60,structural
327,U+354E,㕎,9,,60,structural
328,U+354F,㕏,27,,60,structural
329,U+3550,㕐,42,,60,structural
330,U+3551,㕑,27,,60,structural
331,U+3552,㕒,27,,60,structural
332,U+3553,㕓,9,,60,structural
333,U+3554,㕔,10,,60,structural
334,U+3555,㕕,27,,60,structural
335,U+3556,㕖,34,,60,structural
336,U+3557,㕗,10,,60,structural
337,U+3558,㕘,27,,60,structural
338,U+3559,㕙,16,,60,structural
339,U+355A,㕚,39,,60,structural
340,U+355B,㕛,51,,60,structural
341,U+355C,㕜,59,,60,structural
342,U+355D,㕝,1,,60,structural
343,U+355E,㕞,51,,60,structural
344,U+355F,㕟,51,,60,structural
345,U+3560,㕠,51,,60,structural
346,U+3561,㕡,51,,60,structural
347,U+3562,㕢,32,,60,structural
