object_class,k,silhouette_structural,silhouette_semantic,silhouette_average,is_primary_k
radicals,3,-0.0622112937271595,0.025524014607071877,-0.018343639560043812,True
radicals,4,-0.08858267217874527,0.013775140978395939,-0.037403765600174665,False
radicals,5,-0.10777746886014938,0.04382448270916939,-0.03197649307549,False
radicals,6,-0.1324058175086975,0.0477900430560112,-0.042307887226343155,False
radicals,7,-0.13426436483860016,0.03147265315055847,-0.051395855844020844,False
radicals,8,-0.13279123604297638,0.025299739092588425,-0.05374574847519398,False
radicals,9,-0.1623540073633194,0.03313494101166725,-0.06460953317582607,False
radicals,10,-0.17328305542469025,0.04335057735443115,-0.06496623903512955,False
radicals,11,-0.1898094117641449,0.03444317728281021,-0.07768311724066734,False
radicals,12,-0.17482656240463257,0.04210088402032852,-0.06636283919215202,False
radicals,13,-0.20259709656238556,0.03196478262543678,-0.08531615696847439,False
radicals,14,-0.21301427483558655,0.03818023204803467,-0.08741702139377594,False
radicals,15,-0.2119895964860916,0.04081570729613304,-0.08558694459497929,False
characters,5,0.08589950203895569,0.0948898196220398,0.09039466083049774,False
characters,10,0.1320466548204422,0.12762649357318878,0.1298365741968155,False
characters,15,0.11172424256801605,0.1508142650127411,0.13126925379037857,False
characters,20,0.098053477704525,0.1706690788269043,0.13436127826571465,False
characters,30,0.12597376108169556,0.19933117926120758,0.16265247017145157,False
characters,40,0.12104328721761703,0.2167869657278061,0.16891512647271156,False
characters,60,0.11979261785745621,0.24168303608894348,0.18073782697319984,True
