row_id,kangxi_radical,kangxi_radical_number,cluster_kmeans,cluster_agglomerative,k,space
0,一,1,2,0,3,semantic
1,丨,2,1,0,3,semantic
2,丶,3,1,0,3,semantic
3,丿,4,1,0,3,semantic
4,乙,5,1,0,3,semantic
5,亅,6,1,0,3,semantic
6,二,7,1,0,3,semantic
7,亠,8,1,0,3,semantic
8,人,9,0,0,3,semantic
9,儿,10,2,0,3,semantic
10,入,11,1,0,3,semantic
11,八,12,1,0,3,semantic
12,冂,13,1,0,3,semantic
13,冖,14,1,0,3,semantic
14,冫,15,1,0,3,semantic
15,几,16,2,0,3,semantic
16,凵,17,1,0,3,semantic
17,刀,18,1,0,3,semantic
18,力,19,0,0,3,semantic
19,勹,20,1,0,3,semantic
20,匕,21,1,0,3,semantic
21,匚,22,1,0,3,semantic
22,匸,23,1,0,3,semantic
23,十,24,1,0,3,semantic
24,卜,25,0,0,3,semantic
25,卩,26,1,0,3,semantic
26,厂,27,2,0,3,semantic
27,厶,28,0,0,3,semantic
28,又,29,1,0,3,semantic
29,口,30,1,0,3,semantic
30,囗,31,1,0,3,semantic
31,土,32,0,0,3,semantic
32,士,33,0,0,3,semantic
33,夂,34,1,0,3,semantic
34,夊,35,1,0,3,semantic
35,夕,36,0,0,3,semantic
36,大,37,1,0,3,semantic
37,女,38,0,0,3,semantic
38,子,39,0,0,3,semantic
39,宀,40,0,0,3,semantic
40,寸,41,1,0,3,semantic
41,小,42,1,0,3,semantic
42,尢,43,1,0,3,semantic
43,尸,44,2,0,3,semantic
44,屮,45,1,0,3,semantic
45,山,46,0,0,3,semantic
46,巛,47,0,0,3,semantic
47,工,48,1,0,3,semantic
48,己,49,0,0,3,semantic
49,巾,50,0,0,3,semantic
50,干,51,1,0,3,semantic
51,幺,52,1,0,3,semantic
52,广,53,2,0,3,semantic
53,廴,54,1,0,3,semantic
54,廾,55,0,0,3,semantic
55,弋,56,0,0,3,semantic
56,弓,57,1,0,3,semantic
57,彐,58,1,0,3,semantic
58,彡,59,1,0,3,semantic
59,彳,60,1,0,3,semantic
60,心,61,1,0,3,semantic
61,戈,62,2,0,3,semantic
62,戶,63,1,0,3,semantic
63,手,64,2,0,3,semantic
64,支,65,1,0,3,semantic
65,攴,66,0,0,3,semantic
66,文,67,2,0,3,semantic
67,斗,68,0,0,3,semantic
68,斤,69,1,0,3,semantic
69,方,70,2,0,3,semantic
70,无,71,1,0,3,semantic
71,日,72,0,0,3,semantic
72,曰,73,1,0,3,semantic
73,月,74,0,0,3,semantic
74,木,75,0,0,3,semantic
75,欠,76,1,0,3,semantic
76,止,77,1,0,3,semantic
77,歹,78,0,0,3,semantic
78,殳,79,0,0,3,semantic
79,毋,80,1,0,3,semantic
80,比,81,1,0,3,semantic
81,毛,82,1,0,3,semantic
82,氏,83,0,0,3,semantic
83,气,84,2,0,3,semantic
84,水,85,2,0,3,semantic
85,火,86,0,0,3,semantic
86,爪,87,2,0,3,semantic
87,父,88,0,0,3,semantic
88,爻,89,1,0,3,semantic
89,爿,90,1,0,3,semantic
90,片,91,1,0,3,semantic
91,牙,92,2,0,3,semantic
92,牛,93,2,2,3,semantic
93,犬,94,2,2,3,semantic
94,玄,95,0,0,3,semantic
95,玉,96,0,0,3,semantic
96,瓜,97,2,0,3,semantic
97,瓦,98,2,0,3,semantic
98,甘,99,1,0,3,semantic
99,生,100,0,0,3,semantic
100,用,101,1,0,3,semantic
101,田,102,0,0,3,semantic
102,疋,103,1,0,3,semantic
103,疒,104,0,0,3,semantic
104,癶,105,1,0,3,semantic
105,白,106,0,0,3,semantic
106,皮,107,0,0,3,semantic
107,皿,108,2,0,3,semantic
108,目,109,0,0,3,semantic
109,矛,110,2,0,3,semantic
110,矢,111,1,0,3,semantic
111,石,112,2,0,3,semantic
112,示,113,0,0,3,semantic
113,禸,114,1,0,3,semantic
114,禾,115,2,0,3,semantic
115,穴,116,2,0,3,semantic
116,立,117,1,0,3,semantic
117,竹,118,0,0,3,semantic
118,米,119,2,0,3,semantic
119,糸,120,2,0,3,semantic
120,缶,121,2,0,3,semantic
121,网,122,1,0,3,semantic
122,羊,123,2,2,3,semantic
123,羽,124,0,0,3,semantic
124,老,125,0,0,3,semantic
125,而,126,1,0,3,semantic
126,耒,127,2,0,3,semantic
127,耳,128,2,0,3,semantic
128,聿,129,2,0,3,semantic
