row_id,kangxi_radical,kangxi_radical_number,cluster_kmeans,cluster_agglomerative,k,space
0,一,1,1,0,3,structural
1,丨,2,0,0,3,structural
2,丶,3,0,0,3,structural
3,丿,4,0,0,3,structural
4,乙,5,0,0,3,structural
5,亅,6,0,0,3,structural
6,二,7,0,0,3,structural
7,亠,8,0,0,3,structural
8,人,9,0,0,3,structural
9,儿,10,0,0,3,structural
10,入,11,0,0,3,structural
11,八,12,0,0,3,structural
12,冂,13,0,0,3,structural
13,冖,14,0,0,3,structural
14,冫,15,0,0,3,structural
15,几,16,0,0,3,structural
16,凵,17,0,0,3,structural
17,刀,18,0,0,3,structural
18,力,19,0,0,3,structural
19,勹,20,0,0,3,structural
20,匕,21,0,0,3,structural
21,匚,22,0,0,3,structural
22,匸,23,0,0,3,structural
23,十,24,0,0,3,structural
24,卜,25,0,0,3,structural
25,卩,26,0,0,3,structural
26,厂,27,0,0,3,structural
27,厶,28,0,0,3,structural
28,又,29,0,0,3,structural
29,口,30,2,0,3,structural
30,囗,31,0,0,3,structural
31,土,32,0,0,3,structural
32,士,33,0,0,3,structural
33,夂,34,0,0,3,structural
34,夊,35,0,0,3,structural
35,夕,36,0,0,3,structural
36,大,37,0,0,3,structural
37,女,38,0,0,3,structural
38,子,39,0,0,3,structural
39,宀,40,0,0,3,structural
40,寸,41,0,0,3,structural
41,小,42,0,0,3,structural
42,尢,43,0,0,3,structural
43,尸,44,0,0,3,structural
44,屮,45,0,0,3,structural
45,山,46,0,0,3,structural
46,巛,47,0,0,3,structural
47,工,48,0,0,3,structural
48,己,49,0,0,3,structural
49,巾,50,0,0,3,structural
50,干,51,0,0,3,structural
51,幺,52,0,0,3,structural
52,广,53,0,0,3,structural
53,廴,54,0,0,3,structural
54,廾,55,0,0,3,structural
55,弋,56,0,0,3,structural
56,弓,57,0,0,3,structural
57,彐,58,0,0,3,structural
58,彡,59,0,0,3,structural
59,彳,60,0,0,3,structural
60,心,61,0,0,3,structural
61,戈,62,0,0,3,structural
62,戶,63,0,0,3,structural
63,手,64,0,0,3,structural
64,支,65,0,0,3,structural
65,攴,66,0,0,3,structural
66,文,67,0,0,3,structural
67,斗,68,0,0,3,structural
68,斤,69,0,0,3,structural
69,方,70,0,0,3,structural
70,无,71,0,0,3,structural
71,日,72,0,0,3,structural
72,曰,73,0,0,3,structural
73,月,74,0,0,3,structural
74,木,75,0,0,3,structural
75,欠,76,0,0,3,structural
76,止,77,0,0,3,structural
77,歹,78,0,0,3,structural
78,殳,79,0,0,3,structural
79,毋,80,0,0,3,structural
80,比,81,0,0,3,structural
81,毛,82,0,0,3,structural
82,氏,83,0,0,3,structural
83,气,84,0,0,3,structural
84,水,85,0,0,3,structural
85,火,86,0,0,3,structural
86,爪,87,0,0,3,structural
87,父,88,0,0,3,structural
88,爻,89,0,0,3,structural
89,爿,90,0,0,3,structural
90,片,91,0,0,3,structural
91,牙,92,0,0,3,structural
92,牛,93,0,0,3,structural
93,犬,94,0,0,3,structural
94,玄,95,0,0,3,structural
95,玉,96,0,2,3,structural
96,瓜,97,0,0,3,structural
97,瓦,98,0,0,3,structural
98,甘,99,0,0,3,structural
99,生,100,0,0,3,structural
100,用,101,0,0,3,structural
101,田,102,0,0,3,structural
102,疋,103,0,0,3,structural
103,疒,104,0,0,3,structural
104,癶,105,0,0,3,structural
105,白,106,0,0,3,structural
106,皮,107,0,0,3,structural
107,皿,108,0,0,3,structural
108,目,109,0,0,3,structural
109,矛,110,0,0,3,structural
110,矢,111,0,0,3,structural
111,石,112,0,0,3,structural
112,示,113,0,0,3,structural
113,禸,114,0,0,3,structural
114,禾,115,0,0,3,structural
115,穴,116,0,0,3,structural
116,立,117,0,0,3,structural
117,竹,118,0,0,3,structural
118,米,119,0,0,3,structural
119,糸,120,0,0,3,structural
120,缶,121,0,0,3,structural
121,网,122,0,0,3,structural
122,羊,123,0,0,3,structural
123,羽,124,0,0,3,structural
124,老,125,0,0,3,structural
125,而,126,0,0,3,structural
126,耒,127,0,0,3,structural
127,耳,128,0,0,3,structural
128,聿,129,0,0,3,structural
129,肉,130,0,0,3,structural
130,臣,131,0,0,3,structural
131,自,132,0,0,3,structural
132,至,133,0,0,3,structural
133,臼,134,0,0,3,structural
134,舌,135,0,0,3,structural
135,舛,136,0,0,3,structural
136,舟,137,0,0,3,structural
137,艮,138,0,0,3,structural
138,色,139,0,0,3,structural
139,艸,140,0,0,3,structural
140,虍,141,0,0,3,structural
141,虫,142,0,0,3,structural
142,血,143,0,0,3,structural
143,行,144,0,0,3,structural
144,衣,145,0,0,3,structural
145,襾,146,0,0,3,structural
146,見,147,0,0,3,structural
147,角,148,0,0,3,structural
148,言,149,0,0,3,structural
149,谷,150,0,0,3,structural
150,豆,151,0,0,3,structural
151,豕,152,0,0,3,structural
152,豸,153,0,0,3,structural
153,貝,154,0,0,3,structural
154,赤,155,0,0,3,structural
155,走,156,0,0,3,structural
156,足,157,0,0,3,structural
157,身,158,0,0,3,structural
158,車,159,0,0,3,structural
159,辛,160,0,0,3,structural
160,辰,161,0,0,3,structural
161,辵,162,0,0,3,structural
162,邑,163,0,0,3,structural
163,酉,164,0,0,3,structural
164,釆,165,0,0,3,structural
165,里,166,0,0,3,structural
166,金,167,0,0,3,structural
167,長,168,0,0,3,structural
168,門,169,0,0,3,structural
169,阜,170,0,0,3,structural
170,隶,171,0,0,3,structural
171,隹,172,0,0,3,structural
172,雨,173,0,0,3,structural
173,靑,174,0,0,3,structural
174,非,175,0,0,3,structural
