row_id,kangxi_radical,kangxi_radical_number,name_en,semantic_text
0,一,1,ONE,character: 一. meaning: one.
1,丨,2,LINE,character: 丨. meaning: line.
2,丶,3,DOT,character: 丶. meaning: dot.
3,丿,4,SLASH,character: 丿. meaning: slash.
4,乙,5,SECOND,character: 乙. meaning: second.
5,亅,6,HOOK,character: 亅. meaning: hook.
6,二,7,TWO,character: 二. meaning: two.
7,亠,8,LID,character: 亠. meaning: lid.
8,人,9,MAN (PERSON),character: 人. meaning: man (person).
9,儿,10,LEGS,character: 儿. meaning: legs.
10,入,11,ENTER,character: 入. meaning: enter.
11,八,12,EIGHT,character: 八. meaning: eight.
12,冂,13,DOWN BOX,character: 冂. meaning: down box.
13,冖,14,COVER,character: 冖. meaning: cover.
14,冫,15,ICE,character: 冫. meaning: ice.
15,几,16,TABLE,character: 几. meaning: table.
16,凵,17,OPEN BOX,character: 凵. meaning: open box.
17,刀,18,KNIFE,character: 刀. meaning: knife.
18,力,19,POWER,character: 力. meaning: power.
19,勹,20,WRAP,character: 勹. meaning: wrap.
20,匕,21,SPOON,character: 匕. meaning: spoon.
21,匚,22,RIGHT OPEN BOX,character: 匚. meaning: right open box.
22,匸,23,HIDING ENCLOSURE,character: 匸. meaning: hiding enclosure.
23,十,24,TEN,character: 十. meaning: ten.
24,卜,25,DIVINATION,character: 卜. meaning: divination.
25,卩,26,SEAL,character: 卩. meaning: seal.
26,厂,27,CLIFF,character: 厂. meaning: cliff.
27,厶,28,PRIVATE,character: 厶. meaning: private.
28,又,29,AGAIN,character: 又. meaning: again.
29,口,30,MOUTH,character: 口. meaning: mouth.
30,囗,31,ENCLOSURE,character: 囗. meaning: enclosure.
31,土,32,EARTH,character: 土. meaning: earth.
32,士,33,SCHOLAR,character: 士. meaning: scholar.
33,夂,34,GO,character: 夂. meaning: go.
34,夊,35,GO SLOWLY,character: 夊. meaning: go slowly.
35,夕,36,EVENING,character: 夕. meaning: evening.
36,大,37,BIG,character: 大. meaning: big.
37,女,38,WOMAN,character: 女. meaning: woman.
38,子,39,CHILD,character: 子. meaning: child.
39,宀,40,ROOF,character: 宀. meaning: roof.
40,寸,41,INCH,character: 寸. meaning: inch.
41,小,42,SMALL,character: 小. meaning: small.
42,尢,43,LAME,character: 尢. meaning: lame.
43,尸,44,CORPSE,character: 尸. meaning: corpse.
44,屮,45,SPROUT,character: 屮. meaning: sprout.
45,山,46,MOUNTAIN,character: 山. meaning: mountain.
46,巛,47,RIVER,character: 巛. meaning: river.
47,工,48,WORK,character: 工. meaning: work.
48,己,49,ONESELF,character: 己. meaning: oneself.
49,巾,50,TURBAN,character: 巾. meaning: turban.
50,干,51,DRY,character: 干. meaning: dry.
51,幺,52,SHORT THREAD,character: 幺. meaning: short thread.
52,广,53,DOTTED CLIFF,character: 广. meaning: dotted cliff.
53,廴,54,LONG STRIDE,character: 廴. meaning: long stride.
54,廾,55,TWO HANDS,character: 廾. meaning: two hands.
55,弋,56,SHOOT,character: 弋. meaning: shoot.
56,弓,57,BOW,character: 弓. meaning: bow.
57,彐,58,SNOUT,character: 彐. meaning: snout.
58,彡,59,BRISTLE,character: 彡. meaning: bristle.
59,彳,60,STEP,character: 彳. meaning: step.
60,心,61,HEART,character: 心. meaning: heart.
61,戈,62,HALBERD,character: 戈. meaning: halberd.
62,戶,63,DOOR,character: 戶. meaning: door.
63,手,64,HAND,character: 手. meaning: hand.
64,支,65,BRANCH,character: 支. meaning: branch.
65,攴,66,RAP,character: 攴. meaning: rap.
66,文,67,SCRIPT,character: 文. meaning: script.
67,斗,68,DIPPER,character: 斗. meaning: dipper.
68,斤,69,AXE,character: 斤. meaning: axe.
69,方,70,SQUARE,character: 方. meaning: square.
70,无,71,NOT,character: 无. meaning: not.
71,日,72,SUN,character: 日. meaning: sun.
72,曰,73,SAY,character: 曰. meaning: say.
73,月,74,MOON,character: 月. meaning: moon.
74,木,75,TREE,character: 木. meaning: tree.
75,欠,76,LACK,character: 欠. meaning: lack.
76,止,77,STOP,character: 止. meaning: stop.
77,歹,78,DEATH,character: 歹. meaning: death.
78,殳,79,WEAPON,character: 殳. meaning: weapon.
79,毋,80,DO NOT,character: 毋. meaning: do not.
80,比,81,COMPARE,character: 比. meaning: compare.
81,毛,82,FUR,character: 毛. meaning: fur.
82,氏,83,CLAN,character: 氏. meaning: clan.
83,气,84,STEAM,character: 气. meaning: steam.
84,水,85,WATER,character: 水. meaning: water.
85,火,86,FIRE,character: 火. meaning: fire.
86,爪,87,CLAW,character: 爪. meaning: claw.
87,父,88,FATHER,character: 父. meaning: father.
88,爻,89,DOUBLE X,character: 爻. meaning: double x.
89,爿,90,HALF TREE TRUNK,character: 爿. meaning: half tree trunk.
90,片,91,SLICE,character: 片. meaning: slice.
91,牙,92,FANG,character: 牙. meaning: fang.
92,牛,93,COW,character: 牛. meaning: cow.
93,犬,94,DOG,character: 犬. meaning: dog.
94,玄,95,PROFOUND,character: 玄. meaning: profound.
95,玉,96,JADE,character: 玉. meaning: jade.
96,瓜,97,MELON,character: 瓜. meaning: melon.
97,瓦,98,TILE,character: 瓦. meaning: tile.
98,甘,99,SWEET,character: 甘. meaning: sweet.
99,生,100,LIFE,character: 生. meaning: life.
100,用,101,USE,character: 用. meaning: use.
