row_id,codepoint,char
0,U+3400,㐀
1,U+3402,㐂
2,U+3403,㐃
3,U+3407,㐇
4,U+3408,㐈
5,U+3409,㐉
6,U+340A,㐊
7,U+340B,㐋
8,U+340C,㐌
9,U+340D,㐍
10,U+340E,㐎
11,U+340F,㐏
12,U+3410,㐐
13,U+3411,㐑
14,U+3412,㐒
15,U+3413,㐓
16,U+3414,㐔
17,U+3415,㐕
18,U+3416,㐖
19,U+3417,㐗
20,U+3418,㐘
21,U+3419,㐙
22,U+341A,㐚
23,U+341B,㐛
24,U+341C,㐜
25,U+341D,㐝
26,U+341E,㐞
27,U+341F,㐟
28,U+3420,㐠
29,U+3421,㐡
30,U+3422,㐢
31,U+3423,㐣
32,U+3424,㐤
33,U+3425,㐥
34,U+3426,㐦
35,U+3428,㐨
36,U+3429,㐩
37,U+342A,㐪
38,U+342B,㐫
39,U+342D,㐭
40,U+342E,㐮
41,U+342F,㐯
42,U+3430,㐰
43,U+3431,㐱
44,U+3432,㐲
45,U+3433,㐳
46,U+3434,㐴
47,U+3435,㐵
48,U+3436,㐶
49,U+3437,㐷
50,U+3438,㐸
51,U+3439,㐹
52,U+343A,㐺
53,U+343B,㐻
54,U+343C,㐼
55,U+343D,㐽
56,U+343E,㐾
57,U+343F,㐿
58,U+3440,㑀
59,U+3441,㑁
60,U+3442,㑂
61,U+3443,㑃
62,U+3444,㑄
63,U+3445,㑅
64,U+3446,㑆
65,U+3447,㑇
66,U+3448,㑈
67,U+3449,㑉
68,U+344A,㑊
69,U+344B,㑋
70,U+344C,㑌
71,U+344D,㑍
72,U+344E,㑎
73,U+344F,㑏
74,U+3450,㑐
75,U+3451,㑑
76,U+3452,㑒
77,U+3453,㑓
78,U+3454,㑔
79,U+3455,㑕
80,U+3456,㑖
81,U+3457,㑗
82,U+3458,㑘
83,U+3459,㑙
84,U+345A,㑚
85,U+345B,㑛
86,U+345C,㑜
87,U+345D,㑝
88,U+345E,㑞
89,U+345F,㑟
90,U+3460,㑠
91,U+3461,㑡
92,U+3462,㑢
93,U+3463,㑣
94,U+3464,㑤
95,U+3465,㑥
96,U+3466,㑦
97,U+3467,㑧
98,U+3468,㑨
99,U+3469,㑩
100,U+346A,㑪
101,U+346B,㑫
102,U+346C,㑬
103,U+346D,㑭
104,U+346E,㑮
105,U+346F,㑯
106,U+3470,㑰
107,U+3471,㑱
108,U+3472,㑲
109,U+3473,㑳
110,U+3474,㑴
111,U+3475,㑵
112,U+3476,㑶
113,U+3477,㑷
114,U+3478,㑸
115,U+3479,㑹
116,U+347A,㑺
117,U+347B,㑻
118,U+347C,㑼
119,U+347D,㑽
120,U+347E,㑾
121,U+347F,㑿
122,U+3480,㒀
123,U+3481,㒁
124,U+3482,㒂
125,U+3483,㒃
126,U+3484,㒄
127,U+3485,㒅
128,U+3486,㒆
129,U+3487,㒇
130,U+3488,㒈
131,U+3489,㒉
132,U+348A,㒊
133,U+348B,㒋
134,U+348C,㒌
135,U+348D,㒍
136,U+348E,㒎
137,U+348F,㒏
138,U+3490,㒐
139,U+3491,㒑
140,U+3492,㒒
141,U+3493,㒓
142,U+3494,㒔
143,U+3495,㒕
144,U+3496,㒖
145,U+3497,㒗
146,U+3498,㒘
147,U+3499,㒙
148,U+349A,㒚
149,U+349B,㒛
150,U+349C,㒜
151,U+349D,㒝
