row_id,kangxi_radical,kangxi_radical_number
0,一,1
1,丨,2
2,丶,3
3,丿,4
4,乙,5
5,亅,6
6,二,7
7,亠,8
8,人,9
9,儿,10
10,入,11
11,八,12
12,冂,13
13,冖,14
14,冫,15
15,几,16
16,凵,17
17,刀,18
18,力,19
19,勹,20
20,匕,21
21,匚,22
22,匸,23
23,十,24
24,卜,25
25,卩,26
26,厂,27
27,厶,28
28,又,29
29,口,30
30,囗,31
31,土,32
32,士,33
33,夂,34
34,夊,35
35,夕,36
36,大,37
37,女,38
38,子,39
39,宀,40
40,寸,41
41,小,42
42,尢,43
43,尸,44
44,屮,45
45,山,46
46,巛,47
47,工,48
48,己,49
49,巾,50
50,干,51
51,幺,52
52,广,53
53,廴,54
54,廾,55
55,弋,56
56,弓,57
57,彐,58
58,彡,59
59,彳,60
60,心,61
61,戈,62
62,戶,63
63,手,64
64,支,65
65,攴,66
66,文,67
67,斗,68
68,斤,69
69,方,70
70,无,71
71,日,72
72,曰,73
73,月,74
74,木,75
75,欠,76
76,止,77
77,歹,78
78,殳,79
79,毋,80
80,比,81
81,毛,82
82,氏,83
83,气,84
84,水,85
85,火,86
86,爪,87
87,父,88
88,爻,89
89,爿,90
90,片,91
91,牙,92
92,牛,93
93,犬,94
94,玄,95
95,玉,96
96,瓜,97
97,瓦,98
98,甘,99
99,生,100
100,用,101
101,田,102
102,疋,103
103,疒,104
104,癶,105
105,白,106
106,皮,107
107,皿,108
108,目,109
109,矛,110
110,矢,111
111,石,112
112,示,113
113,禸,114
114,禾,115
115,穴,116
116,立,117
117,竹,118
118,米,119
119,糸,120
120,缶,121
121,网,122
122,羊,123
123,羽,124
124,老,125
125,而,126
126,耒,127
127,耳,128
128,聿,129
129,肉,130
130,臣,131
131,自,132
132,至,133
133,臼,134
134,舌,135
135,舛,136
136,舟,137
137,艮,138
138,色,139
139,艸,140
140,虍,141
141,虫,142
142,血,143
143,行,144
144,衣,145
145,襾,146
146,見,147
147,角,148
148,言,149
149,谷,150
150,豆,151
151,豕,152
152,豸,153
153,貝,154
154,赤,155
155,走,156
156,足,157
157,身,158
158,車,159
159,辛,160
160,辰,161
161,辵,162
162,邑,163
163,酉,164
164,釆,165
165,里,166
166,金,167
167,長,168
168,門,169
169,阜,170
170,隶,171
171,隹,172
172,雨,173
173,靑,174
174,非,175
175,面,176
176,革,177
177,韋,178
178,韭,179
179,音,180
180,頁,181
181,風,182
182,飛,183
183,食,184
184,首,185
185,香,186
186,馬,187
187,骨,188
188,高,189
189,髟,190
190,鬥,191
191,鬯,192
192,鬲,193
193,鬼,194
194,魚,195
195,鳥,196
196,鹵,197
197,鹿,198
198,麥,199
199,麻,200
200,黃,201
201,黍,202
202,黑,203
203,黹,204
204,黽,205
205,鼎,206
206,鼓,207
207,鼠,208
208,鼻,209
209,齊,210
210,齒,211
211,龍,212
212,龜,213
213,龠,214
