radical_number,index_codepoint,real_codepoint,symbol,name_en
1,U+2F00,U+4E00,一,ONE
2,U+2F01,U+4E28,丨,LINE
3,U+2F02,U+4E36,丶,DOT
4,U+2F03,U+4E3F,丿,SLASH
5,U+2F04,U+4E59,乙,SECOND
6,U+2F05,U+4E85,亅,HOOK
7,U+2F06,U+4E8C,二,TWO
8,U+2F07,U+4EA0,亠,LID
9,U+2F08,U+4EBA,人,MAN (PERSON)
10,U+2F09,U+513F,儿,LEGS
11,U+2F0A,U+5165,入,ENTER
12,U+2F0B,U+516B,八,EIGHT
13,U+2F0C,U+5182,冂,DOWN BOX
14,U+2F0D,U+5196,冖,COVER
15,U+2F0E,U+51AB,冫,ICE
16,U+2F0F,U+51E0,几,TABLE
17,U+2F10,U+51F5,凵,OPEN BOX
18,U+2F11,U+5200,刀,KNIFE
19,U+2F12,U+529B,力,POWER
20,U+2F13,U+52F9,勹,WRAP
21,U+2F14,U+5315,匕,SPOON
22,U+2F15,U+531A,匚,RIGHT OPEN BOX
23,U+2F16,U+5338,匸,HIDING ENCLOSURE
24,U+2F17,U+5341,十,TEN
25,U+2F18,U+535C,卜,DIVINATION
26,U+2F19,U+5369,卩,SEAL
27,U+2F1A,U+5382,厂,CLIFF
28,U+2F1B,U+53B6,厶,PRIVATE
29,U+2F1C,U+53C8,又,AGAIN
30,U+2F1D,U+53E3,口,MOUTH
31,U+2F1E,U+56D7,囗,ENCLOSURE
32,U+2F1F,U+571F,土,EARTH
33,U+2F20,U+58EB,士,SCHOLAR
34,U+2F21,U+5902,夂,GO
35,U+2F22,U+590A,夊,GO SLOWLY
36,U+2F23,U+5915,夕,EVENING
37,U+2F24,U+5927,大,BIG
38,U+2F25,U+5973,女,WOMAN
39,U+2F26,U+5B50,子,CHILD
40,U+2F27,U+5B80,宀,ROOF
41,U+2F28,U+5BF8,寸,INCH
42,U+2F29,U+5C0F,小,SMALL
43,U+2F2A,U+5C22,尢,LAME
44,U+2F2B,U+5C38,尸,CORPSE
45,U+2F2C,U+5C6E,屮,SPROUT
46,U+2F2D,U+5C71,山,MOUNTAIN
47,U+2F2E,U+5DDB,巛,RIVER
48,U+2F2F,U+5DE5,工,WORK
49,U+2F30,U+5DF1,己,ONESELF
50,U+2F31,U+5DFE,巾,TURBAN
51,U+2F32,U+5E72,干,DRY
52,U+2F33,U+5E7A,幺,SHORT THREAD
53,U+2F34,U+5E7F,广,DOTTED CLIFF
54,U+2F35,U+5EF4,廴,LONG STRIDE
55,U+2F36,U+5EFE,廾,TWO HANDS
56,U+2F37,U+5F0B,弋,SHOOT
57,U+2F38,U+5F13,弓,BOW
58,U+2F39,U+5F50,彐,SNOUT
59,U+2F3A,U+5F61,彡,BRISTLE
60,U+2F3B,U+5F73,彳,STEP
61,U+2F3C,U+5FC3,心,HEART
62,U+2F3D,U+6208,戈,HALBERD
63,U+2F3E,U+6236,戶,DOOR
64,U+2F3F,U+624B,手,HAND
65,U+2F40,U+652F,支,BRANCH
66,U+2F41,U+6534,攴,RAP
67,U+2F42,U+6587,文,SCRIPT
68,U+2F43,U+6597,斗,DIPPER
69,U+2F44,U+65A4,斤,AXE
70,U+2F45,U+65B9,方,SQUARE
71,U+2F46,U+65E0,无,NOT
72,U+2F47,U+65E5,日,SUN
73,U+2F48,U+66F0,曰,SAY
74,U+2F49,U+6708,月,MOON
75,U+2F4A,U+6728,木,TREE
76,U+2F4B,U+6B20,欠,LACK
77,U+2F4C,U+6B62,止,STOP
78,U+2F4D,U+6B79,歹,DEATH
79,U+2F4E,U+6BB3,殳,WEAPON
80,U+2F4F,U+6BCB,毋,DO NOT
81,U+2F50,U+6BD4,比,COMPARE
82,U+2F51,U+6BDB,毛,FUR
83,U+2F52,U+6C0F,氏,CLAN
84,U+2F53,U+6C14,气,STEAM
85,U+2F54,U+6C34,水,WATER
86,U+2F55,U+706B,火,FIRE
87,U+2F56,U+722A,爪,CLAW
88,U+2F57,U+7236,父,FATHER
89,U+2F58,U+723B,爻,DOUBLE X
90,U+2F59,U+723F,爿,HALF TREE TRUNK
91,U+2F5A,U+7247,片,SLICE
92,U+2F5B,U+7259,牙,FANG
93,U+2F5C,U+725B,牛,COW
94,U+2F5D,U+72AC,犬,DOG
95,U+2F5E,U+7384,玄,PROFOUND
96,U+2F5F,U+7389,玉,JADE
97,U+2F60,U+74DC,瓜,MELON
98,U+2F61,U+74E6,瓦,TILE
99,U+2F62,U+7518,甘,SWEET
100,U+2F63,U+751F,生,LIFE
101,U+2F64,U+7528,用,USE
102,U+2F65,U+7530,田,FIELD
103,U+2F66,U+758B,疋,BOLT OF CLOTH
104,U+2F67,U+7592,疒,SICKNESS
105,U+2F68,U+7676,癶,DOTTED TENT
106,U+2F69,U+767D,白,WHITE
107,U+2F6A,U+76AE,皮,SKIN
108,U+2F6B,U+76BF,皿,DISH
109,U+2F6C,U+76EE,目,EYE
110,U+2F6D,U+77DB,矛,SPEAR
111,U+2F6E,U+77E2,矢,ARROW
112,U+2F6F,U+77F3,石,STONE
113,U+2F70,U+793A,示,SPIRIT
114,U+2F71,U+79B8,禸,TRACK
115,U+2F72,U+79BE,禾,GRAIN
116,U+2F73,U+7A74,穴,CAVE
117,U+2F74,U+7ACB,立,STAND
118,U+2F75,U+7AF9,竹,BAMBOO
119,U+2F76,U+7C73,米,RICE
120,U+2F77,U+7CF8,糸,SILK
121,U+2F78,U+7F36,缶,JAR
122,U+2F79,U+7F51,网,NET
123,U+2F7A,U+7F8A,羊,SHEEP
124,U+2F7B,U+7FBD,羽,FEATHER
125,U+2F7C,U+8001,老,OLD
126,U+2F7D,U+800C,而,AND
127,U+2F7E,U+8012,耒,PLOW
128,U+2F7F,U+8033,耳,EAR
129,U+2F80,U+807F,聿,BRUSH
130,U+2F81,U+8089,肉,MEAT
131,U+2F82,U+81E3,臣,MINISTER
132,U+2F83,U+81EA,自,SELF
133,U+2F84,U+81F3,至,ARRIVE
134,U+2F85,U+81FC,臼,MORTAR
135,U+2F86,U+820C,舌,TONGUE
136,U+2F87,U+821B,舛,OPPOSE
137,U+2F88,U+821F,舟,BOAT
