node_id,node_type,symbol,codepoint,kangxi_radical,kangxi_radical_number,in_largest_component,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
char:U+4E00,character,一,U+4E00,,,1,1,3.6204337279606094e-05,0.0,0.27280360353241007,0.0058145287425680516,9.844725996140686e-06
rad:1:一,radical,一,,一,1,1,4558,0.1650193693204446,0.18117120199659673,0.3751392322529816,0.4791087567481588,0.024354995118178593
char:U+4E01,character,丁,U+4E01,,,1,2,7.240867455921219e-05,6.869930520073089e-07,0.27341398701092984,0.0063865331769957755,1.4088647204819093e-05
rad:6:亅,radical,亅,,亅,6,1,486,0.01759530791788856,0.0026508699661082834,0.33448392800910787,0.04713233790156847,0.0024994678355377397
char:U+4E02,character,丂,U+4E02,,,1,1,3.6204337279606094e-05,0.0,0.27280360353241007,0.0058145287425680516,9.844725996140686e-06
char:U+4E03,character,七,U+4E03,,,1,1,3.6204337279606094e-05,0.0,0.2533995192043015,0.0002954978529555988,1.019385271753705e-05
rad:5:乙,radical,乙,,乙,5,1,818,0.029615147894717784,0.01941352396029405,0.3394002703699152,0.02434859559895798,0.004706845563630994
char:U+4E04,character,丄,U+4E04,,,1,2,7.240867455921219e-05,2.569110954314816e-06,0.2752890749601276,0.007059383523443966,1.4021532119158932e-05
rad:2:丨,radical,丨,,丨,2,1,1106,0.040041997031244336,0.016150375046750362,0.3417015169137116,0.10257423306399285,0.005600761109786675
char:U+4E05,character,丅,U+4E05,,,1,2,7.240867455921219e-05,2.569110954314816e-06,0.2752890749601276,0.007059383523443966,1.4021532119158932e-05
char:U+4E06,character,丆,U+4E06,,,1,2,7.240867455921219e-05,1.6066432565656242e-05,0.28120354342734954,0.006741835257749388,1.436811455979997e-05
rad:4:丿,radical,丿,,丿,4,1,1791,0.06484196806777451,0.05414564132859402,0.3481017444791772,0.07640871535476756,0.009799857954510379
char:U+4E07,character,万,U+4E07,,,1,2,7.240867455921219e-05,1.6066432565656242e-05,0.28120354342734954,0.006741835257749388,1.436811455979997e-05
char:U+4E09,character,三,U+4E09,,,1,2,7.240867455921219e-05,5.4130672519266276e-06,0.27594924060751397,0.006386233313189998,1.4158864067890932e-05
rad:7:二,radical,二,,二,7,1,798,0.028891061149125662,0.011506788141612758,0.3380955878752265,0.04710762955777312,0.004169985852256476
char:U+4E0A,character,上,U+4E0A,,,1,2,7.240867455921219e-05,3.8382013060936025e-06,0.2739836107859283,0.00600305484600597,1.4455791392873622e-05
rad:25:卜,radical,卜,,卜,25,1,306,0.011078527207559464,0.002496808550416174,0.328367259583373,0.015534278190329,0.0017059112318921752
char:U+4E0B,character,下,U+4E0B,,,1,2,7.240867455921219e-05,3.8382013060936025e-06,0.2739836107859283,0.00600305484600597,1.4455791392873622e-05
char:U+4E0C,character,丌,U+4E0C,,,1,3,0.00010861301183881828,2.2524133065249774e-05,0.2831467355643045,0.007986690038625302,1.8544920682818216e-05
char:U+4E0D,character,不,U+4E0D,,,1,1,3.6204337279606094e-05,0.0,0.27280360353241007,0.0058145287425680516,9.844725996140686e-06
