node_id,node_type,symbol,codepoint,kangxi_radical,kangxi_radical_number,in_largest_component,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
rad:1:一,radical,一,,一,1,1,4558,0.1650193693204446,0.18117120199659673,0.3751392322529816,0.4791087567481588,0.024354995118178593
rad:6:亅,radical,亅,,亅,6,1,486,0.01759530791788856,0.0026508699661082834,0.33448392800910787,0.04713233790156847,0.0024994678355377397
rad:5:乙,radical,乙,,乙,5,1,818,0.029615147894717784,0.01941352396029405,0.3394002703699152,0.02434859559895798,0.004706845563630994
rad:2:丨,radical,丨,,丨,2,1,1106,0.040041997031244336,0.016150375046750362,0.3417015169137116,0.10257423306399285,0.005600761109786675
rad:4:丿,radical,丿,,丿,4,1,1791,0.06484196806777451,0.05414564132859402,0.3481017444791772,0.07640871535476756,0.009799857954510379
rad:7:二,radical,二,,二,7,1,798,0.028891061149125662,0.011506788141612758,0.3380955878752265,0.04710762955777312,0.004169985852256476
rad:25:卜,radical,卜,,卜,25,1,306,0.011078527207559464,0.002496808550416174,0.328367259583373,0.015534278190329,0.0017059112318921752
rad:18:刀,radical,刀,,刀,18,1,787,0.028492813439049997,0.015234029546236805,0.339383586895077,0.03746743210707404,0.004400558111650893
rad:55:廾,radical,廾,,廾,55,1,397,0.01437312190000362,0.004177840876723581,0.3317995050099719,0.02037499495117828,0.002144351833602589
rad:13:冂,radical,冂,,冂,13,1,578,0.020926106947612322,0.007352788389483901,0.3349301445619482,0.03148466192094732,0.0031392807759885438
rad:9:人,radical,人,,人,9,1,2803,0.10148075739473589,0.09940432302291054,0.3582250239966794,0.17994878841187711,0.015460282722614314
rad:85:水,radical,水,,水,85,1,1609,0.058252778682886204,0.053725415673702204,0.3473923872298674,0.059587872436024474,0.009421734098918465
rad:96:玉,radical,玉,,玉,96,1,640,0.0231707758589479,0.014998063564081668,0.3382529456433873,0.017709344908801335,0.003845341850310605
rad:28:厶,radical,厶,,厶,28,1,602,0.021795011042322867,0.009769854317802288,0.33597323600973233,0.015336188614939225,0.0033843451059916412
rad:21:匕,radical,匕,,匕,21,1,293,0.010607870822924586,0.0038374311897590757,0.3291186004385547,0.005658934540237457,0.0016846667972432374
rad:46:山,radical,山,,山,46,1,743,0.026899822598747326,0.018943499122502126,0.33923350939688,0.0241720405888677,0.004363596262517545
rad:32:土,radical,土,,土,32,1,1408,0.05097570688968538,0.043804151462202526,0.3454197518511107,0.047050016090292066,0.008151125424733813
rad:27:厂,radical,厂,,厂,27,1,366,0.01325078744433583,0.005551517673793905,0.3325346177001806,0.010091618345022523,0.0020238524148855326
rad:12:八,radical,八,,八,12,1,2062,0.07465334347054776,0.0533865298870301,0.35054071892770106,0.1506197543001378,0.01077997085382441
rad:30:口,radical,口,,口,30,1,4029,0.14586727489953294,0.16116182670796322,0.37004234108693324,0.35557137407522504,0.022058595889663277
rad:59:彡,radical,彡,,彡,59,1,248,0.008978675645342311,0.0028125641477897375,0.32845317666087864,0.005477560534749827,0.0014278114173611946
rad:3:丶,radical,丶,,丶,3,1,1348,0.04880344665290901,0.037675099307361855,0.34431727508477955,0.04443266376519341,0.007353378779451271
rad:8:亠,radical,亠,,亠,8,1,939,0.03399587270555012,0.01773004849877754,0.33935022486544936,0.04876280780377596,0.004983937392368194
rad:37:大,radical,大,,大,37,1,993,0.03595090691864885,0.021732286434347006,0.3404210733920075,0.046258370461684926,0.005537175592651801
rad:24:十,radical,十,,十,24,1,1235,0.044712356540313525,0.025865278833289887,0.3429405190612194,0.0768582668002037,0.006524343173106586
rad:115:禾,radical,禾,,禾,115,1,576,0.020853698273053112,0.011759898641421865,0.33716273959223536,0.014511518696434604,0.003364421822126977
rad:15:冫,radical,冫,,冫,15,1,229,0.008290793237029796,0.002765622020451999,0.3278526995583836,0.005165638750014773,0.0013202034674558176
rad:52:幺,radical,幺,,幺,52,1,110,0.00398247710075667,0.0006897801474505985,0.31321734791090144,0.001630957192083833,0.0006304849576592331
rad:68:斗,radical,斗,,斗,68,1,69,0.0024980992722928204,0.0007195361554132239,0.3012654085305989,0.001393682926127447,0.00045666765568451613
rad:102:田,radical,田,,田,102,1,863,0.03124434307230006,0.020991466353875117,0.3392585130951796,0.03491973322134639,0.005022386649341396
