node_type,metric,rank,symbol,codepoint,kangxi_radical_number,value
radical,degree,1,一,,1,4558
radical,degree,2,口,,30,4029
radical,degree,3,人,,9,2803
radical,degree,4,木,,75,2318
radical,degree,5,八,,12,2062
radical,degree,6,日,,72,1933
radical,degree,7,丿,,4,1791
radical,degree,8,艸,,140,1726
radical,degree,9,水,,85,1609
radical,degree,10,土,,32,1408
radical,degree_centrality,1,一,,1,0.1650193693204446
radical,degree_centrality,2,口,,30,0.14586727489953294
radical,degree_centrality,3,人,,9,0.10148075739473589
radical,degree_centrality,4,木,,75,0.08392165381412693
radical,degree_centrality,5,八,,12,0.07465334347054776
radical,degree_centrality,6,日,,72,0.06998298396147858
radical,degree_centrality,7,丿,,4,0.06484196806777451
radical,degree_centrality,8,艸,,140,0.06248868614460012
radical,degree_centrality,9,水,,85,0.058252778682886204
radical,degree_centrality,10,土,,32,0.05097570688968538
radical,betweenness_centrality,1,一,,1,0.18117120199659673
radical,betweenness_centrality,2,口,,30,0.16116182670796322
radical,betweenness_centrality,3,人,,9,0.09940432302291054
radical,betweenness_centrality,4,木,,75,0.0876972510390514
radical,betweenness_centrality,5,日,,72,0.06325328404427166
radical,betweenness_centrality,6,艸,,140,0.05765734892542559
radical,betweenness_centrality,7,丿,,4,0.05414564132859402
radical,betweenness_centrality,8,水,,85,0.053725415673702204
radical,betweenness_centrality,9,八,,12,0.0533865298870301
radical,betweenness_centrality,10,土,,32,0.043804151462202526
radical,closeness_centrality,1,一,,1,0.3751392322529816
radical,closeness_centrality,2,口,,30,0.37004234108693324
radical,closeness_centrality,3,人,,9,0.3582250239966794
radical,closeness_centrality,4,木,,75,0.3539007637500641
radical,closeness_centrality,5,八,,12,0.35054071892770106
radical,closeness_centrality,6,日,,72,0.35008746799178564
radical,closeness_centrality,7,艸,,140,0.34852347299343767
radical,closeness_centrality,8,丿,,4,0.3481017444791772
radical,closeness_centrality,9,水,,85,0.3473923872298674
radical,closeness_centrality,10,土,,32,0.3454197518511107
radical,eigenvector_centrality,1,一,,1,0.4791087567481588
radical,eigenvector_centrality,2,口,,30,0.35557137407522504
radical,eigenvector_centrality,3,人,,9,0.17994878841187711
radical,eigenvector_centrality,4,八,,12,0.1506197543001378
radical,eigenvector_centrality,5,丨,,2,0.10257423306399285
radical,eigenvector_centrality,6,木,,75,0.09530300866778811
radical,eigenvector_centrality,7,日,,72,0.09181756147190408
radical,eigenvector_centrality,8,十,,24,0.0768582668002037
radical,eigenvector_centrality,9,丿,,4,0.07640871535476756
radical,eigenvector_centrality,10,艸,,140,0.0676213837997442
radical,pagerank,1,一,,1,0.024354995118178593
radical,pagerank,2,口,,30,0.022058595889663277
radical,pagerank,3,人,,9,0.015460282722614314
radical,pagerank,4,木,,75,0.01373998847239042
radical,pagerank,5,日,,72,0.010799282506630049
radical,pagerank,6,八,,12,0.01077997085382441
radical,pagerank,7,艸,,140,0.009857867393618675
radical,pagerank,8,丿,,4,0.009799857954510379
radical,pagerank,9,水,,85,0.009421734098918465
radical,pagerank,10,土,,32,0.008151125424733813
character,degree,1,囈,U+56C8,,8
character,degree,2,瓙,U+74D9,,8
character,degree,3,襼,U+897C,,8
character,degree,4,讛,U+8B9B,,8
character,degree,5,䊲,U+42B2,,8
character,degree,6,儔,U+5114,,7
character,degree,7,儤,U+5124,,7
character,degree,8,兿,U+517F,,7
character,degree,9,冁,U+5181,,7
character,degree,10,嚗,U+5697,,7
character,degree_centrality,1,囈,U+56C8,,0.00028963469823684875
character,degree_centrality,2,瓙,U+74D9,,0.00028963469823684875
character,degree_centrality,3,襼,U+897C,,0.00028963469823684875
character,degree_centrality,4,讛,U+8B9B,,0.00028963469823684875
character,degree_centrality,5,䊲,U+42B2,,0.00028963469823684875
character,degree_centrality,6,儔,U+5114,,0.00025343036095724263
character,degree_centrality,7,儤,U+5124,,0.00025343036095724263
character,degree_centrality,8,兿,U+517F,,0.00025343036095724263
character,degree_centrality,9,冁,U+5181,,0.00025343036095724263
character,degree_centrality,10,嚗,U+5697,,0.00025343036095724263
character,betweenness_centrality,1,濸,U+6FF8,,0.00032436416882266554
character,betweenness_centrality,2,囈,U+56C8,,0.0003026056081810734
character,betweenness_centrality,3,瓙,U+74D9,,0.0002897189004938432
character,betweenness_centrality,4,讛,U+8B9B,,0.0002814527609865199
character,betweenness_centrality,5,臝,U+81DD,,0.00027809659522844843
character,betweenness_centrality,6,襼,U+897C,,0.0002639041826658479
character,betweenness_centrality,7,灗,U+7057,,0.0002617618222659309
character,betweenness_centrality,8,藫,U+85EB,,0.00025682833341182995
character,betweenness_centrality,9,墚,U+589A,,0.00025551102226654076
character,betweenness_centrality,10,欂,U+6B02,,0.0002428814109807742
character,closeness_centrality,1,濸,U+6FF8,,0.3252043051270578
character,closeness_centrality,2,鿚,U+9FDA,,0.3228548047696984
character,closeness_centrality,3,榙,U+6999,,0.3210159246774381
character,closeness_centrality,4,槍,U+69CD,,0.32064321374666205
character,closeness_centrality,5,藫,U+85EB,,0.319685604482104
character,closeness_centrality,6,㬁,U+3B01,,0.31821219523436417
character,closeness_centrality,7,溚,U+6E9A,,0.31778013025567853
character,closeness_centrality,8,蒼,U+84BC,,0.3174367816091954
character,closeness_centrality,9,滄,U+6EC4,,0.31718157804065694
character,closeness_centrality,10,塔,U+5854,,0.3167886393356122
character,eigenvector_centrality,1,嚗,U+5697,,0.015821664719811182
character,eigenvector_centrality,2,藫,U+85EB,,0.01496554731112475
character,eigenvector_centrality,3,傈,U+5088,,0.014715138941176995
character,eigenvector_centrality,4,噗,U+5657,,0.014713320245729165
character,eigenvector_centrality,5,鿚,U+9FDA,,0.014691380436162946
character,eigenvector_centrality,6,濸,U+6FF8,,0.014596347959890645
character,eigenvector_centrality,7,橝,U+6A5D,,0.014578328770577322
character,eigenvector_centrality,8,鿙,U+9FD9,,0.014552078670626904
character,eigenvector_centrality,9,㶘,U+3D98,,0.014414153007709608
character,eigenvector_centrality,10,榙,U+6999,,0.014290946429937943
