,sem_cluster_0,sem_cluster_1,sem_cluster_2,sem_cluster_3,sem_cluster_4,sem_cluster_5,sem_cluster_6,sem_cluster_7,sem_cluster_8,sem_cluster_9,sem_cluster_10,sem_cluster_11,sem_cluster_12,sem_cluster_13,sem_cluster_14,sem_cluster_15,sem_cluster_16,sem_cluster_17,sem_cluster_18,sem_cluster_19,sem_cluster_20,sem_cluster_21,sem_cluster_22,sem_cluster_23,sem_cluster_24,sem_cluster_25,sem_cluster_26,sem_cluster_27,sem_cluster_28,sem_cluster_29,sem_cluster_30,sem_cluster_31,sem_cluster_32,sem_cluster_33,sem_cluster_34,sem_cluster_35,sem_cluster_36,sem_cluster_37,sem_cluster_38,sem_cluster_39,sem_cluster_40,sem_cluster_41,sem_cluster_42,sem_cluster_43,sem_cluster_44,sem_cluster_45,sem_cluster_46,sem_cluster_47,sem_cluster_48,sem_cluster_49,sem_cluster_50,sem_cluster_51,sem_cluster_52,sem_cluster_53,sem_cluster_54,sem_cluster_55,sem_cluster_56,sem_cluster_57,sem_cluster_58,sem_cluster_59
struct_cluster_0,40,1,1,1,0,1,0,4,15,0,1,1,2,1,2,4,0,11,3,4,8,1,1,1,2,3,0,1,1,1,1,4,4,7,0,1,3,0,1,0,1,2,3,3,1,3,1,4,0,2,0,2,1,2,2,0,0,2,1,1
struct_cluster_1,290,13,9,6,9,11,13,15,129,19,4,0,24,11,26,32,8,47,10,25,40,4,14,1,11,6,9,7,37,8,4,20,23,33,17,4,32,1,6,2,2,3,35,13,9,14,8,56,16,15,15,16,16,32,16,7,19,16,7,11
struct_cluster_2,36,1,5,7,2,0,2,3,2,5,0,0,0,4,3,0,0,1,1,1,0,0,1,1,1,2,7,0,0,0,1,4,0,5,1,0,0,1,6,0,1,20,3,0,0,0,1,5,1,2,0,6,2,7,6,1,1,0,1,0
struct_cluster_3,135,56,2,1,2,38,2,4,7,1,0,0,3,119,5,0,6,2,7,3,52,0,0,7,0,2,3,4,3,8,0,13,1,18,0,0,9,2,1,0,0,1,10,1,1,4,7,17,1,5,4,22,38,6,2,0,0,1,1,0
struct_cluster_4,36,1,0,1,0,0,1,1,1,3,2,1,1,1,1,1,1,2,10,1,4,1,0,1,1,0,1,2,2,3,1,2,1,2,2,1,2,1,0,0,0,2,4,1,1,2,1,9,0,0,1,0,2,2,4,1,1,2,0,0
struct_cluster_5,118,3,0,3,0,8,0,3,34,3,4,0,3,2,2,13,3,5,5,3,54,1,2,0,1,0,2,2,13,5,2,3,2,58,8,0,26,1,3,0,0,1,88,0,1,9,5,34,0,2,2,3,0,4,1,0,0,7,3,0
struct_cluster_6,36,0,1,1,1,4,0,1,8,1,0,0,1,0,3,3,2,4,2,0,7,2,0,3,3,0,1,0,8,9,3,4,1,8,1,0,1,0,1,0,0,0,3,0,2,3,2,1,1,3,0,0,5,1,4,1,1,0,0,1
struct_cluster_7,16,0,3,0,0,1,5,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0
struct_cluster_8,34,2,0,1,0,0,0,0,1,0,14,0,0,0,2,1,3,0,2,0,3,1,0,13,1,0,1,0,0,0,0,1,0,0,8,1,2,2,0,0,0,1,1,3,0,0,2,1,1,4,3,1,1,2,1,0,0,0,0,0
struct_cluster_9,218,2,4,16,4,18,4,9,11,36,10,0,22,10,57,7,3,5,8,7,16,3,14,7,1,3,3,6,12,7,6,13,15,19,8,1,7,1,5,5,1,1,17,13,2,10,1,19,5,14,8,8,10,14,7,6,6,5,3,3
struct_cluster_10,146,7,11,8,13,14,7,13,7,11,5,4,14,9,10,15,4,5,19,18,20,5,6,14,5,6,8,12,13,5,10,12,10,13,19,8,13,10,3,7,1,4,10,10,1,14,4,24,6,8,5,6,15,20,18,4,3,4,8,3
struct_cluster_11,112,2,5,6,4,5,3,5,2,4,6,1,14,3,16,4,9,1,23,9,13,5,69,4,2,2,3,3,9,0,0,6,5,9,5,0,3,0,0,1,0,1,7,33,0,7,5,7,6,0,5,6,8,5,3,4,5,5,2,6
struct_cluster_12,274,0,1,3,0,16,4,0,8,3,98,1,5,4,7,9,16,4,18,0,8,4,0,150,7,5,3,0,5,9,0,8,3,5,5,1,1,3,2,2,0,1,4,36,2,9,5,22,3,44,4,7,6,8,4,7,1,1,1,2
struct_cluster_13,154,2,5,4,8,2,0,10,10,14,4,4,5,10,7,12,6,5,7,11,11,2,11,4,4,2,5,7,7,10,1,11,2,16,8,3,4,4,6,4,1,2,18,7,8,14,12,14,4,1,7,14,4,17,7,7,6,10,8,8
struct_cluster_14,18,1,0,2,0,0,2,2,6,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,4,1,0,1,0,0,3,1,0,0,1,1,0
struct_cluster_15,96,1,5,12,2,9,3,3,1,0,1,82,9,4,6,2,3,1,5,5,14,3,0,1,1,4,2,37,6,3,1,6,5,17,5,6,4,1,3,0,0,5,5,6,2,11,87,19,0,4,16,13,10,17,2,0,2,2,1,4
struct_cluster_16,63,0,0,2,2,3,1,3,1,1,0,2,2,5,1,1,3,0,2,3,2,1,2,4,0,5,2,2,5,0,0,8,1,2,0,4,3,6,3,0,0,4,5,6,3,2,1,2,1,2,3,6,4,9,2,1,1,2,2,3
struct_cluster_17,46,2,0,2,3,6,0,1,2,2,0,0,4,13,1,1,7,2,0,3,10,0,0,2,4,0,1,1,4,2,0,29,0,1,1,2,6,0,0,0,0,0,4,3,2,13,2,8,0,0,0,21,0,6,1,2,4,1,0,0
struct_cluster_18,33,0,2,0,0,0,0,1,2,6,0,0,2,1,1,2,2,1,6,4,3,0,4,1,0,0,2,3,7,2,0,2,0,3,4,2,3,1,0,1,1,1,6,2,3,2,2,6,0,0,1,5,0,2,0,1,0,1,3,2
struct_cluster_19,44,0,0,3,43,7,0,5,2,2,3,2,1,4,0,2,2,5,11,2,11,4,2,4,0,1,0,6,4,0,1,1,1,7,4,0,4,0,1,0,0,2,7,2,0,7,3,5,2,2,3,8,0,5,0,0,2,4,0,0
struct_cluster_20,65,0,2,7,3,1,0,2,2,1,1,0,3,7,4,4,5,1,7,9,9,13,1,2,0,0,3,3,7,5,0,7,2,7,3,2,4,0,1,0,0,1,10,5,0,8,2,10,27,4,5,1,3,9,2,0,5,3,2,5
struct_cluster_21,82,4,1,6,7,12,2,2,18,5,3,1,10,1,7,9,4,20,5,8,10,2,7,3,1,9,1,12,7,1,1,3,4,12,3,2,15,3,4,5,3,1,7,5,5,5,5,12,0,8,3,1,5,13,2,1,5,1,10,1
struct_cluster_22,96,0,3,0,1,0,0,0,2,1,0,0,4,0,0,0,1,4,0,1,0,0,0,0,3,6,1,0,1,0,0,0,0,3,2,0,0,0,20,0,0,2,0,1,141,0,0,6,0,0,2,0,0,20,0,0,0,1,7,0
struct_cluster_23,83,3,5,3,6,1,0,1,0,4,1,1,0,0,1,0,0,1,3,0,4,1,0,2,1,2,6,0,3,0,0,0,2,6,0,0,0,108,0,1,1,2,0,0,1,3,16,10,1,0,0,3,12,11,3,6,1,0,1,4
struct_cluster_24,242,10,16,13,3,8,4,11,11,20,3,5,18,13,14,11,14,3,10,12,31,4,3,3,2,4,11,7,29,12,2,8,7,25,26,6,11,2,9,13,4,10,16,14,4,11,17,24,17,5,79,13,8,22,16,4,9,14,13,4
struct_cluster_25,144,7,6,9,9,12,2,3,4,6,10,3,15,7,9,10,3,4,8,7,18,5,8,4,1,9,10,5,16,8,2,5,6,16,4,5,8,6,10,0,6,4,18,9,3,8,12,27,4,7,3,3,11,12,11,2,7,8,9,4
struct_cluster_26,148,3,15,3,4,6,8,7,5,5,5,3,6,11,6,3,3,6,10,5,18,3,1,8,4,4,6,16,14,11,1,9,4,27,9,0,2,2,4,5,3,9,5,18,4,10,3,30,3,7,9,4,5,11,3,6,7,6,2,4
struct_cluster_27,764,34,44,13,44,64,18,74,30,74,11,8,65,29,65,77,58,46,56,103,123,33,20,15,41,10,29,26,76,31,68,74,37,96,58,7,64,4,13,4,4,6,77,57,18,60,44,114,35,37,45,46,68,71,65,37,73,45,34,43
struct_cluster_28,66,4,6,1,0,6,0,3,4,6,3,1,7,1,2,1,2,2,2,2,3,2,0,3,2,4,2,2,7,7,1,1,6,5,1,3,2,2,4,3,0,0,5,4,2,2,4,5,1,5,3,1,3,3,9,2,0,1,0,0
