object_class,space,cluster_id,cluster_size,high_overlap_flag,top_radicals,prototype_labels,prototype_definitions_sample,mean_cosine_to_centroid,max_cosine_to_centroid
radicals,structural,0,212,true,,瓦 | 走 | 舟 | 革 | 見 | 食 | 角 | 黑 | 風 | 韋,TILE | RUN | BOAT | LEATHER | SEE,0.335763,0.660913
radicals,structural,1,1,true,,一,ONE,1.0,1.0
radicals,structural,2,1,true,,口,MOUTH,1.0,1.0
radicals,semantic,0,64,true,,韭 | 己 | 玄 | 子 | 殳 | 鼎 | 生 | 攴 | 鬥 | 身,LEEK | ONESELF | PROFOUND | CHILD | WEAPON,0.790128,0.890895
radicals,semantic,1,84,true,,又 | 丨 | 彐 | 彳 | 曰 | 而 | 乙 | 彡 | 无 | 貝,AGAIN | LINE | SNOUT | STEP | SAY,0.807918,0.889222
radicals,semantic,2,66,true,,牙 | 文 | 魚 | 釆 | 禾 | 戈 | 肉 | 耒 | 舟 | 馬,FANG | SCRIPT | FISH | DISTINGUISH | GRAIN,0.715329,0.864566
characters,structural,0,163,false,"耳(100%), 又(38%), 乙(17%), 攴(15%), 日(7%), 丿(6%), 心(5%), 門(4%)",聨 | 耳 | 聑 | 聮 | 聯 | 聶 | 䎻 | 取 | 聂 | 最,"connect, join; associate, ally | ear; merely, only; handle; Kangxi radical 128 | character: 聑. | connect, join; associate, ally | connect, join; associate, ally",0.663582,0.903439
characters,structural,1,1306,false,"口(100%), 亠(18%), 十(7%), 子(6%), 卜(5%), 小(5%), 刀(5%), 土(4%)",嗩 | 㖁 | 吅 | 哌 | 同 | 后 | 吕 | 哶 | 告 | 呞,"flute-like musical instrument | (non-classical form of 吝) stingy, sparing of; closefisted, to regret, to shame; to insult | character: 吅. | used in translation | same, similar; together with",0.618642,0.962576
characters,structural,2,160,false,"木(100%), 一(100%), 日(17%), 艸(6%), 丿(6%), 口(5%), 儿(4%), 大(3%)",査 | 杖 | 杇 | 朽 | 杻 | 枻 | 枼 | 耒 | 椏 | 柤,"investigate, examine, seek into | cane, walking stick | loquat | decayed, rotten; rot, decay | Ligustrum sinense, tree",0.800408,0.986415
characters,structural,3,637,false,"手(100%), 口(7%), 一(6%), 斤(6%), 田(4%), 丶(4%), 大(4%), 乙(3%)",㩗 | 掱 | 扬 | 㨬 | 掌 | 撑 | 抛 | 抙 | 捜 | 报,"(non-classical form of 攜) to lead by the hand, to conduct to; to take with | pickpocket | scatter, spread; praise | character: 㨬. | palm of hand, sole of foot, paw",0.652298,0.98341
characters,structural,4,125,false,"夕(100%), 口(17%), 网(8%), 冖(8%), 人(7%), 大(6%), 山(6%), 艸(6%)",多 | 㗬 | 㚋 | 哆 | 名 | 罗 | 夢 | 㐴 | 侈 | 奓,"much, many; more than, over | thick lips, to talk slowly | much; many; numerous, great; big; vast | tremble, shiver, shudder, quiver | name, rank, title, position",0.66632,0.963078
characters,structural,5,555,false,"言(100%), 儿(8%), 糸(7%), 口(7%), 厂(7%), 丿(6%), 一(5%), 人(5%)",譶 | 言 | 䛐 | 誛 | 䜝 | 誩 | 調 | 諬 | 謇 | 謍,"character: 譶. | words, speech; speak, say; Kangxi radical 149 | (same as U+8A5E 詞) an expression, words; phrases; a part of speech, tales; stories, a form of poetry | character: 誛. | uncertain",0.648693,0.977871
characters,structural,6,148,false,"欠(66%), 冫(62%), 寸(8%), 示(8%), 爿(7%), 心(5%), 口(5%), 豆(4%)",次 | 羡 | 恣 | 咨 | 資 | 资 | 檨 | 栨 | 栥 | 秶,"order, sequence; next | envy, admire; praise; covet | indulge oneself, unrestrained | inquire, consult, discuss; plan | property; wealth; capital",0.57692,0.973962
characters,structural,7,39,false,"貝(79%), 金(69%), 斤(54%), 刀(8%), 車(8%), 手(5%), 石(5%), 欠(5%)",鑕 | 鋇 | 鐀 | 鑍 | 钡 | 鑜 | 質 | 鍘 | 铡 | 锧,"chopping block, executioner's block | barium (element 56, Ba) | a cupboard; a press; a wardrobe shop-counter | character: 鑍. | barium (element 56, Ba)",0.70449,0.97353
characters,structural,8,114,false,"水(100%), 日(100%), 一(17%), 勹(13%), 艸(10%), 丿(9%), 老(8%), 口(6%)",湜 | 涾 | 沓 | 汨 | 昹 | 昶 | 湷 | 濕 | 淐 | 湿,"transparent, clear | character: 涾. | connected, joined; repeated | Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for U+6C69 汩 | character: 昹.",0.768555,0.97575
characters,structural,9,756,false,"土(100%), 厶(15%), 人(10%), 月(8%), 寸(7%), 艸(6%), 网(6%), 皿(6%)",堂 | 堖 | 垖 | 報 | 垚 | 垰 | 㘽 | 塄 | 赱 | 埐,"hall; government office | small, head shaped hill, used in place names | character: 垖. | report, tell, announce | mound, roundish mass",0.63613,0.965228
characters,structural,10,707,false,"丿(100%), 心(21%), 小(12%), 水(11%), 勹(11%), 囗(9%), 丶(7%), 刀(7%)",丿 | 刀 | 㦲 | 力 | 镹 | 羑 | 爻 | 爫 | 屯 | 乆,"line; Kangxi radical 4 | knife; old coin; measure | (non-classical form of 哉) a particle expressing surprise, admiration, or grief, an expletive | power, capability, influence; Kangxi radical 19 | character: 镹.",0.602962,0.934178
