object_class,space,cluster_id,cluster_size,prototype_rank,object_id,object_label,definition,cosine_to_centroid
radicals,structural,0,212,1,瓦,瓦,TILE,0.660913
radicals,structural,0,212,2,走,走,RUN,0.651634
radicals,structural,0,212,3,舟,舟,BOAT,0.648777
radicals,structural,0,212,4,革,革,LEATHER,0.611626
radicals,structural,0,212,5,見,見,SEE,0.592662
radicals,structural,0,212,6,食,食,EAT,0.588595
radicals,structural,0,212,7,角,角,HORN,0.585907
radicals,structural,0,212,8,黑,黑,BLACK,0.581288
radicals,structural,0,212,9,風,風,WIND,0.573961
radicals,structural,0,212,10,韋,韋,TANNED LEATHER,0.573071
radicals,structural,1,1,1,一,一,ONE,1.0
radicals,structural,2,1,1,口,口,MOUTH,1.0
radicals,semantic,0,64,1,韭,韭,LEEK,0.890895
radicals,semantic,0,64,2,己,己,ONESELF,0.874964
radicals,semantic,0,64,3,玄,玄,PROFOUND,0.870195
radicals,semantic,0,64,4,子,子,CHILD,0.850464
radicals,semantic,0,64,5,殳,殳,WEAPON,0.850159
radicals,semantic,0,64,6,鼎,鼎,TRIPOD,0.845074
radicals,semantic,0,64,7,生,生,LIFE,0.838837
radicals,semantic,0,64,8,攴,攴,RAP,0.838085
radicals,semantic,0,64,9,鬥,鬥,FIGHT,0.831393
radicals,semantic,0,64,10,身,身,BODY,0.831376
radicals,semantic,1,84,1,又,又,AGAIN,0.889222
radicals,semantic,1,84,2,丨,丨,LINE,0.881861
radicals,semantic,1,84,3,彐,彐,SNOUT,0.876797
radicals,semantic,1,84,4,彳,彳,STEP,0.870473
radicals,semantic,1,84,5,曰,曰,SAY,0.870445
radicals,semantic,1,84,6,而,而,AND,0.870421
radicals,semantic,1,84,7,乙,乙,SECOND,0.86958
radicals,semantic,1,84,8,彡,彡,BRISTLE,0.859053
radicals,semantic,1,84,9,无,无,NOT,0.854064
radicals,semantic,1,84,10,貝,貝,SHELL,0.851696
radicals,semantic,2,66,1,牙,牙,FANG,0.864566
radicals,semantic,2,66,2,文,文,SCRIPT,0.836342
radicals,semantic,2,66,3,魚,魚,FISH,0.822004
radicals,semantic,2,66,4,釆,釆,DISTINGUISH,0.813289
radicals,semantic,2,66,5,禾,禾,GRAIN,0.81064
radicals,semantic,2,66,6,戈,戈,HALBERD,0.810389
radicals,semantic,2,66,7,肉,肉,MEAT,0.79356
radicals,semantic,2,66,8,耒,耒,PLOW,0.787378
radicals,semantic,2,66,9,舟,舟,BOAT,0.779068
radicals,semantic,2,66,10,馬,馬,HORSE,0.778355
characters,structural,0,163,1,U+8068,聨,"connect, join; associate, ally",0.903439
characters,structural,0,163,2,U+8033,耳,"ear; merely, only; handle; Kangxi radical 128",0.903439
characters,structural,0,163,3,U+8051,聑,character: 聑.,0.903439
characters,structural,0,163,4,U+806E,聮,"connect, join; associate, ally",0.903439
characters,structural,0,163,5,U+806F,聯,"connect, join; associate, ally",0.903439
characters,structural,0,163,6,U+8076,聶,whisper; surname,0.903439
characters,structural,0,163,7,U+43BB,䎻,"to hear, clear, bright, ears",0.903439
characters,structural,0,163,8,U+53D6,取,"take, receive, obtain; select",0.881817
characters,structural,0,163,9,U+8042,聂,whisper; surname,0.881817
characters,structural,0,163,10,U+6700,最,"most, extremely, exceedingly",0.758401
